,task,generalisation,model,test_auc,train_auc,n_layers,temperature,emb_size,learning_rate,train_epochs,max_size_train,max_prob_train
0,Meet_SemiDistributive,strong,BlackBoxGNN,0.8998634815216064,0.8999131917953491,8,1,16,0.001,200,8,0.8
1,Meet_SemiDistributive,strong,BlackBoxGNN,0.986489474773407,0.9950293302536011,8,1,16,0.001,200,8,0.8
2,Meet_SemiDistributive,strong,BlackBoxGNN,0.9875965118408203,0.99558424949646,8,1,16,0.001,200,8,0.8
3,Meet_SemiDistributive,strong,BlackBoxGNN,0.9506697654724121,0.9782229065895081,8,1,16,0.001,200,8,0.8
4,Meet_SemiDistributive,strong,BlackBoxGNN,0.9865376353263855,0.9963204860687256,8,1,16,0.001,200,8,0.8
5,Meet_SemiDistributive,weak,BlackBoxGNN,0.9681733846664429,0.9714775085449219,8,1,16,0.001,200,8,0.8
6,Meet_SemiDistributive,weak,BlackBoxGNN,0.9807049632072449,0.9843074679374695,8,1,16,0.001,200,8,0.8
7,Meet_SemiDistributive,weak,BlackBoxGNN,0.9838646650314331,0.9854177236557007,8,1,16,0.001,200,8,0.8
8,Meet_SemiDistributive,weak,BlackBoxGNN,0.9916952848434448,0.9942164421081543,8,1,16,0.001,200,8,0.8
9,Meet_SemiDistributive,weak,BlackBoxGNN,0.9937177300453186,0.995449960231781,8,1,16,0.001,200,8,0.8
10,Join_SemiDistributive,strong,BlackBoxGNN,0.9773530960083008,0.9840690493583679,8,1,16,0.001,200,8,0.8
11,Join_SemiDistributive,strong,BlackBoxGNN,0.9889600276947021,0.9962002635002136,8,1,16,0.001,200,8,0.8
12,Join_SemiDistributive,strong,BlackBoxGNN,0.9860351085662842,0.995675265789032,8,1,16,0.001,200,8,0.8
13,Join_SemiDistributive,strong,BlackBoxGNN,0.9867476224899292,0.9949168562889099,8,1,16,0.001,200,8,0.8
14,Join_SemiDistributive,strong,BlackBoxGNN,0.9786359071731567,0.9874577522277832,8,1,16,0.001,200,8,0.8
15,Join_SemiDistributive,weak,BlackBoxGNN,0.9927541613578796,0.9951266646385193,8,1,16,0.001,200,8,0.8
16,Join_SemiDistributive,weak,BlackBoxGNN,0.9716899394989014,0.9748255014419556,8,1,16,0.001,200,8,0.8
17,Join_SemiDistributive,weak,BlackBoxGNN,0.9767938256263733,0.980543851852417,8,1,16,0.001,200,8,0.8
18,Join_SemiDistributive,weak,BlackBoxGNN,0.9429453611373901,0.947821855545044,8,1,16,0.001,200,8,0.8
19,Join_SemiDistributive,weak,BlackBoxGNN,0.9871217012405396,0.9905853271484375,8,1,16,0.001,200,8,0.8
20,SemiDistributive,strong,BlackBoxGNN,0.9891136288642883,0.9968376159667969,8,1,16,0.001,200,8,0.8
21,SemiDistributive,strong,BlackBoxGNN,0.9865362048149109,0.9965147972106934,8,1,16,0.001,200,8,0.8
22,SemiDistributive,strong,BlackBoxGNN,0.9881361126899719,0.996751606464386,8,1,16,0.001,200,8,0.8
23,SemiDistributive,strong,BlackBoxGNN,0.9871534109115601,0.9973427653312683,8,1,16,0.001,200,8,0.8
24,SemiDistributive,strong,BlackBoxGNN,0.9887675046920776,0.9971923828125,8,1,16,0.001,200,8,0.8
